X,Y,Date,County
-97.546649,32.590471,1/2/14,TARRANT
-97.546286,32.847377,5/29/14,TARRANT
-97.545123,32.877033,6/3/14,TARRANT
-97.544899,32.846248,9/16/14,TARRANT
-97.544899,32.846248,9/16/14,TARRANT
-97.544258,32.877003,8/25/14,TARRANT
-97.544258,32.877003,8/25/14,TARRANT
-97.543843,32.952959,8/5/14,TARRANT
-97.543843,32.952959,8/5/14,TARRANT
-97.543843,32.952959,8/5/14,TARRANT
-97.543556,32.952392,5/16/14,TARRANT
-97.543489,32.95069,5/30/14,TARRANT
-97.543252,32.879134,8/19/14,TARRANT
-97.543252,32.879134,8/19/14,TARRANT
-97.543244,32.879268,12/23/14,TARRANT
-97.541418,32.910285,9/19/14,TARRANT
-97.541396,32.910393,8/28/14,TARRANT
-97.540453,32.898984,11/4/14,TARRANT
-97.539794,32.838631,8/13/14,TARRANT
-97.539794,32.838631,8/13/14,TARRANT
-97.539201,32.901413,10/16/14,TARRANT
-97.537474,32.895515,5/18/14,TARRANT
-97.537357,32.611074,5/14/14,TARRANT
-97.537357,32.611074,6/30/14,TARRANT
-97.537357,32.611074,4/28/14,TARRANT
-97.537357,32.611074,4/28/14,TARRANT
-97.535894,32.610893,3/28/14,TARRANT
-97.535894,32.610893,3/28/14,TARRANT
-97.535894,32.610893,3/28/14,TARRANT
-97.535894,32.610893,11/19/14,TARRANT
-97.535894,32.610893,11/19/14,TARRANT
-97.535788,32.846311,2/17/14,TARRANT
-97.535788,32.846311,2/17/14,TARRANT
-97.535788,32.846311,2/17/14,TARRANT
-97.532645,32.893515,4/19/14,TARRANT
-97.532645,32.893515,2/24/14,TARRANT
-97.530054,32.895861,11/5/14,TARRANT
-97.529834,32.926982,8/6/14,TARRANT
-97.529834,32.926982,8/6/14,TARRANT
-97.529809,32.868254,11/5/14,TARRANT
-97.528654,32.926751,2/14/14,TARRANT
-97.527595,32.921851,9/10/14,TARRANT
-97.526564,32.841881,5/21/14,TARRANT
-97.526399,32.85447,4/25/14,TARRANT
-97.526399,32.85447,4/25/14,TARRANT
-97.526399,32.85447,4/25/14,TARRANT
-97.525451,32.979323,1/28/14,TARRANT
-97.525451,32.979323,1/28/14,TARRANT
-97.525451,32.979323,1/28/14,TARRANT
-97.525451,32.979323,1/28/14,TARRANT
-97.525021,32.844608,11/21/14,TARRANT
-97.524742,32.844605,4/22/14,TARRANT
-97.524482,32.895709,3/14/14,TARRANT
-97.52279,32.973623,10/28/14,TARRANT
-97.522761,32.884748,1/30/14,TARRANT
-97.522013,32.846858,5/27/14,TARRANT
-97.522013,32.846858,6/2/14,TARRANT
-97.522013,32.846858,6/2/14,TARRANT
-97.522013,32.846858,6/2/14,TARRANT
-97.521883,32.984651,12/26/14,TARRANT
-97.520901,32.885123,9/22/14,TARRANT
-97.520901,32.885123,1/30/14,TARRANT
